epoch,train_loss,val_loss
1,0.04122846709056334,0.043155004580815635
2,0.030513190071691166,0.025239417950312298
3,0.02292881313372742,0.018792942787210148
4,0.020170564339919525,0.017034320160746574
5,0.016550627113743263,0.014647323948641619
6,0.016647369939495216,0.016060466567675274
7,0.015463552522388372,0.016334013702968758
8,0.015168073756450956,0.012435716887315115
9,0.013417961329899052,0.011923817917704582
10,0.013389921662482348,0.012175517777601877
11,0.014056312174282291,0.012595328502357006
12,0.013950725848024542,0.012318572960793972
13,0.012637542899359356,0.010572128308316072
14,0.013348131271248514,0.013030154630541801
15,0.012673011557622389,0.01079183972130219
16,0.012575021521611647,0.011266160445908705
17,0.012381288138302889,0.010970802667240301
18,0.011629269712350586,0.012666608206927776
19,0.01361717317592014,0.011074813393255075
20,0.01345198093490167,0.00976417368898789
21,0.011748831041834572,0.009351767910023531
22,0.011049596000124107,0.009966554120182991
23,0.011069415306503122,0.009444685031970343
24,0.011188747445968065,0.009941691843171915
25,0.012120933949270031,0.00897051983823379
26,0.011002779260955074,0.00942241276303927
27,0.01021470104090192,0.008941226328412691
28,0.010948131792247295,0.009235103925069174
29,0.011429161087355831,0.009013003048797449
30,0.01075043444606391,0.009627408968905607
31,0.009370113468982956,0.00884421324978272
32,0.00976294931024313,0.00831611609707276
33,0.010741037993945858,0.008090035213778416
34,0.009600508704104206,0.00988441767791907
35,0.011651809157972986,0.00886537041515112
36,0.010689258575439453,0.008087455139805874
37,0.010012594136324797,0.008412066536645094
38,0.010882014493373308,0.008104607462882996
39,0.009660734541036865,0.008796835007766882
40,0.00948378113521771,0.00807493148992459
41,0.009860758161680265,0.007952843637516102
42,0.008868016260252758,0.007687700912356377
43,0.009878632019866596,0.008684701131035885
44,0.009856733493506908,0.008012671023607254
45,0.009963341649960388,0.00836418274169167
46,0.009935151277617975,0.007964505814015865
47,0.009260867468335411,0.008344864472746849
48,0.008669019846076315,0.007720310085763534
49,0.00812248026274822,0.007008591201156378
50,0.008440971713174473,0.00710604324315985
51,0.008688294455747713,0.00868762501825889
52,0.01073573703284968,0.00902687075237433
53,0.0097842968323014,0.008969578271110853
54,0.008507193193178286,0.006928982523580392
55,0.008187805429439653,0.006850344439347585
56,0.008949765596877445,0.007633352962632974
57,0.008678912989456545,0.006621379250039657
58,0.008303847206248478,0.00672748467574517
59,0.008883373811841011,0.00668295177941521
60,0.009020547848194838,0.006746295373886824
61,0.007804050999270244,0.006500357761979103
62,0.007850895974446426,0.006403615387777488
63,0.008213280996477062,0.006501301967849334
64,0.007829882289198313,0.006403665523976088
65,0.00987781821326776,0.006953188218176365
66,0.008052567062391476,0.00703601570179065
67,0.008014680987054651,0.006343792037417491
68,0.00855329895222729,0.006607404754807551
69,0.007103933571753177,0.006231597314278285
70,0.0071125838228247385,0.006059672062595685
71,0.007137823849916458,0.006419284113993247
72,0.007376431699164889,0.006173929820458095
73,0.0076371469873596325,0.0060863907759388285
74,0.007617146623405543,0.006337963975965977
75,0.0075248796916143465,0.0065649695073564844
76,0.008226062806153839,0.006330961361527443
77,0.00773993871090087,0.005962403180698554
78,0.006814887450838631,0.005756571733703216
79,0.0065519864332269535,0.005752574652433395
80,0.008065452672202478,0.005905382024745147
