epoch,train_loss,val_loss
1,0.027624294448357362,0.025509781204164028
2,0.01711733202235057,0.0166261016856879
3,0.012571186328736635,0.012359155574813485
4,0.011546817464897266,0.01178528810851276
5,0.010549080773041798,0.010127852438017726
6,0.010761493745331582,0.009250619215890765
7,0.010340047713655692,0.012254487723112106
8,0.010750561200368863,0.008705906919203699
9,0.00924391457094596,0.008584633702412248
10,0.00940508316629208,0.01022209576331079
11,0.007904603898238678,0.00865852099377662
12,0.008314825343684508,0.009690517093986273
13,0.008576927778239433,0.008987771114334464
14,0.007793261490475673,0.008030319469980896
15,0.007845860798485003,0.007956254296004772
16,0.00795572093473031,0.007699265610426664
17,0.007257517319745743,0.006735404254868627
18,0.006941146217286587,0.008469882188364863
19,0.0066033395795294875,0.006973541458137333
20,0.006433303145548472,0.006232637795619667
21,0.006886413249258812,0.007687688339501619
22,0.006728300645660896,0.006518263020552695
23,0.006994950943268263,0.009048990439623594
24,0.006536231340410618,0.0065193112241104245
25,0.006412043809317625,0.0061008145567029715
26,0.005814743980478782,0.005206341505981982
27,0.006082816013636498,0.0069871649611741304
28,0.006358929014263244,0.006709101260639727
29,0.006440191565511318,0.0055240243673324585
30,0.0063904708681198266,0.005579310818575323
31,0.006006245250598743,0.005683120805770159
32,0.006323794440294688,0.006007007556036115
33,0.005910174562953985,0.004936257842928171
34,0.005563405342400074,0.005601651850156486
35,0.005598668474704027,0.0056389166275039315
36,0.0054193951834279755,0.00498167157638818
37,0.006266089962222255,0.005665943957865238
38,0.005529675131233839,0.005004115169867873
39,0.005973450194757719,0.005350434104911983
40,0.005091319863612835,0.004498898575548083
41,0.004832459756961236,0.00432530406396836
42,0.00542126064045498,0.004380413971375674
43,0.0048608989096604865,0.004238123481627554
44,0.00472074904694007,0.004786921548657119
45,0.004975588634037054,0.004602858563885093
46,0.0043630065181507515,0.00427412852877751
47,0.0048036063806368755,0.004219001391902566
48,0.0051422817274354975,0.004558953456580639
49,0.005287845081721361,0.00530481687746942
50,0.005044048419222236,0.004555337829515338
51,0.004781643501841105,0.004831133410334587
52,0.005005687546844666,0.004342362633906305
53,0.005612939058874662,0.004476860514841974
54,0.005303327298651521,0.00403745227959007
55,0.0044682425303527945,0.003946561424527317
56,0.004467495591737903,0.003943603311199695
57,0.00531906014881455,0.0038686603656969965
58,0.004774787158776934,0.0037781500723212957
59,0.004093092436400743,0.003814999421592802
60,0.004939387892731107,0.003800972830504179
61,0.004711288528946729,0.0037166826077736914
62,0.004046780487092642,0.0036672428832389414
63,0.004080158443405078,0.003661528171505779
64,0.004123841466095585,0.003953581559471786
65,0.004326936842587132,0.0037014964036643505
66,0.004488925037619013,0.003764286986552179
67,0.004163211319022453,0.0037903038319200277
68,0.0045526275912729595,0.003703493974171579
69,0.004075195389584853,0.0035869692801497877
70,0.004413814498828008,0.0039026409504003823
71,0.003954791392271335,0.0035883932723663747
72,0.004713351981571088,0.0035523063270375133
73,0.003967142305695093,0.003532440750859678
74,0.004433544943682277,0.003607069607824087
75,0.0045223268142973,0.0036355885677039623
76,0.004396883555902884,0.003596701950300485
77,0.004820736966883907,0.0036295075551606715
78,0.004685724207844872,0.0038254790124483407
79,0.004412386315659835,0.0037469067028723657
80,0.0038946173691119137,0.0035144230350852013
